"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"100","p03",27,219.8,73,"R",74.6,33.6,23,48.1,26.719764,36.185595,55.197979,73.76286,17.467546,22.856376
"101","p03",27,219.8,73,"R",74.6,33.6,24,52.4,29.377468,39.467971,55.197979,73.76286,17.467546,22.856376
"102","p03",27,219.8,73,"R",74.6,33.6,25,52.3,31.85385,42.075799,55.197979,73.76286,17.467546,22.856376
"103","p03",27,219.8,73,"R",74.6,33.6,26,56.1,31.707431,46.727694,55.197979,73.76286,17.467546,22.856376
"104","p03",27,219.8,73,"R",74.6,33.6,27,58.1,37.058863,49.575652,55.197979,73.76286,17.467546,22.856376
"105","p03",27,219.8,73,"R",74.6,33.6,28,58.8,35.431604,49.411732,55.197979,73.76286,17.467546,22.856376
"106","p03",27,219.8,73,"R",74.6,33.6,29,58.9,36.488101,51.885055,55.197979,73.76286,17.467546,22.856376
"107","p03",27,219.8,73,"R",74.6,33.6,30,59,36.581128,49.605821,55.197979,73.76286,17.467546,22.856376
"108","p03",27,219.8,73,"R",74.6,33.6,31,62.3,38.636985,53.86238,55.197979,73.76286,17.467546,22.856376
"109","p03",27,219.8,73,"R",74.6,33.6,32,61.5,37.278089,51.749644,55.197979,73.76286,17.467546,22.856376
"110","p03",27,219.8,73,"R",74.6,33.6,33,62.3,40.804827,59.32734,55.197979,73.76286,17.467546,22.856376
"111","p03",27,219.8,73,"R",74.6,33.6,34,65.9,45.298254,61.847432,55.197979,73.76286,17.467546,22.856376
"112","p03",27,219.8,73,"R",74.6,33.6,35,67.1,45.357684,63.204497,55.197979,73.76286,17.467546,22.856376
"113","p03",27,219.8,73,"R",74.6,33.6,36,69.5,48.890991,67.305949,55.197979,73.76286,17.467546,22.856376
"114","p03",27,219.8,73,"R",74.6,33.6,37,67.5,45.996965,64.924336,55.197979,73.76286,17.467546,22.856376
"115","p03",27,219.8,73,"R",74.6,33.6,38,67.4,44.127932,62.023235,55.197979,73.76286,17.467546,22.856376
"116","p03",27,219.8,73,"R",74.6,33.6,39,66.3,43.398655,60.431778,55.197979,73.76286,17.467546,22.856376
"117","p03",27,219.8,73,"R",74.6,33.6,40,73.1,53.902777,71.80614,55.197979,73.76286,17.467546,22.856376
"118","p03",27,219.8,73,"R",74.6,33.6,41,74,55.197979,73.76286,55.197979,73.76286,17.467546,22.856376
"119","p03",27,219.8,73,"R",74.6,33.6,42,74.6,54.343739,70.772729,55.197979,73.76286,17.467546,22.856376
"120","p04",26,188.8,74,"L",83.6,46.7,1,46.7,14.073848,16.115672,52.335327,60.978877,14.073848,16.115672
"121","p04",26,188.8,74,"L",83.6,46.7,2,47.7,15.041032,16.823752,52.335327,60.978877,14.073848,16.115672
"122","p04",26,188.8,74,"L",83.6,46.7,3,49.9,16.921942,19.269124,52.335327,60.978877,14.073848,16.115672
"123","p04",26,188.8,74,"L",83.6,46.7,4,52,18.449157,20.805925,52.335327,60.978877,14.073848,16.115672
"124","p04",26,188.8,74,"L",83.6,46.7,5,50.8,17.300063,19.2918,52.335327,60.978877,14.073848,16.115672
"125","p04",26,188.8,74,"L",83.6,46.7,6,52.3,19.75498,21.160158,52.335327,60.978877,14.073848,16.115672
"126","p04",26,188.8,74,"L",83.6,46.7,7,54.9,21.757021,24.829449,52.335327,60.978877,14.073848,16.115672
"127","p04",26,188.8,74,"L",83.6,46.7,8,55.4,21.519953,25.292242,52.335327,60.978877,14.073848,16.115672
"128","p04",26,188.8,74,"L",83.6,46.7,9,58.2,25.110402,29.380408,52.335327,60.978877,14.073848,16.115672
"129","p04",26,188.8,74,"L",83.6,46.7,10,60.4,26.596343,30.584157,52.335327,60.978877,14.073848,16.115672
"130","p04",26,188.8,74,"L",83.6,46.7,11,61.3,26.600868,29.768222,52.335327,60.978877,14.073848,16.115672
"131","p04",26,188.8,74,"L",83.6,46.7,12,62.6,28.578769,32.974539,52.335327,60.978877,14.073848,16.115672
"132","p04",26,188.8,74,"L",83.6,46.7,13,63.7,29.954916,34.708805,52.335327,60.978877,14.073848,16.115672
"133","p04",26,188.8,74,"L",83.6,46.7,14,63.9,28.50164,32.668548,52.335327,60.978877,14.073848,16.115672
"134","p04",26,188.8,74,"L",83.6,46.7,15,66.9,31.548548,37.104835,52.335327,60.978877,14.073848,16.115672
"135","p04",26,188.8,74,"L",83.6,46.7,16,68.1,33.195123,40.395988,52.335327,60.978877,14.073848,16.115672
"136","p04",26,188.8,74,"L",83.6,46.7,17,72.2,37.608608,42.540554,52.335327,60.978877,14.073848,16.115672
"137","p04",26,188.8,74,"L",83.6,46.7,18,72.5,37.702961,44.673203,52.335327,60.978877,14.073848,16.115672
"138","p04",26,188.8,74,"L",83.6,46.7,19,73.9,40.576184,46.665119,52.335327,60.978877,14.073848,16.115672
"139","p04",26,188.8,74,"L",83.6,46.7,20,71.3,35.052815,41.197845,52.335327,60.978877,14.073848,16.115672
"140","p04",26,188.8,74,"L",83.6,46.7,21,73.5,38.528027,45.839579,52.335327,60.978877,14.073848,16.115672
