kww	// User ID
16-2-2021	// Evaluation date
caitlin-pilot_24_48.4	10-2-2021	16:14:26:725	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
131	5.263586	4.918137	0.273956	5.326237	5.558033	-5.326237	-7.149886	5.091672	5.846886	-5.091672	-8.081133	0.341559	
132	4.159407	3.616408	0.203294	5.391238	4.345574	-5.391238	-5.029821	4.315295	4.303980	-4.315295	-5.158799	0.345972	
133	3.288870	2.422790	0.170506	4.195491	2.957325	-4.195491	-3.919037	2.969887	3.183260	-2.969887	-2.724830	0.360707	
134	2.582659	1.490310	0.160668	2.239771	1.766623	-2.239771	-3.185162	1.602968	2.268240	-1.602968	-1.039525	0.377450	
135	2.150559	0.943830	0.154516	0.610814	0.994763	-0.610814	-2.609920	0.573632	1.705065	-0.573632	-0.128031	0.393530	
136	2.027490	0.828576	0.148184	-0.625721	0.658899	0.625721	-2.454586	-0.004239	1.682513	0.004239	0.230557	0.413562	
137	1.726564	0.792605	0.141728	-1.658530	0.537002	1.658530	-2.315398	-0.247331	1.727077	0.247331	0.335850	0.440914	
138	1.021672	0.499194	0.140037	-2.041168	0.360436	2.041168	-1.476366	-0.403582	1.171839	0.403582	0.315829	0.474083	
139	0.471291	0.159642	0.150218	-1.473853	0.077423	1.473853	-0.320996	-0.517420	0.383791	0.517420	0.339302	0.513279	
140	0.444281	0.063584	0.173088	-0.804732	-0.178557	0.804732	0.183413	-0.446294	0.067374	0.446294	0.596125	0.558511	
141	0.541839	0.039404	0.203575	-0.936156	-0.319182	0.936156	-0.103058	-0.348320	-0.035873	0.348320	0.930861	0.601430	
142	0.363840	-0.196461	0.232102	-1.800890	-0.407170	1.800890	-0.527818	-0.718281	-0.356134	0.718281	1.062885	0.627992	
143	0.133802	-0.500644	0.249106	-2.944120	-0.513354	2.944120	-0.794175	-1.320383	-0.491735	1.320383	1.062578	0.624852	
144	0.261372	-0.455443	0.255804	-3.840771	-0.466913	3.840771	-1.402154	-1.386304	0.002045	1.386304	1.158995	0.583748	
145	0.644736	-0.003753	0.260639	-4.304908	-0.087229	4.304908	-2.190658	-1.016808	0.635366	1.016808	1.267136	0.511138	
