kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_16_77.1	16-2-2021	11:43:36:803	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
94	1.122894	0.569005	0.404981	-1.061281	0.586651	1.061281	-0.952787	-1.318314	0.407144	1.318314	0.097632	0.484023	
95	2.081854	1.199701	0.414408	-0.168075	1.153342	0.168075	-1.359072	-2.263597	0.383759	2.263597	0.252956	0.483828	
96	2.041972	1.151416	0.428412	0.333829	1.134277	-0.333829	-1.662148	-1.800093	0.493044	1.800093	0.255156	0.482284	
97	1.452430	0.747133	0.439631	1.376191	0.716880	-1.376191	-1.819735	-0.394524	0.654109	0.394524	0.184329	0.476592	
98	1.112905	0.548257	0.446223	2.131012	0.489819	-2.131012	-1.718272	0.428657	0.663575	-0.428657	0.186930	0.466769	
99	0.922701	0.454328	0.451556	1.482228	0.442637	-1.482228	-1.406040	0.808739	0.571876	-0.808739	0.234380	0.459937	
100	0.761746	0.347745	0.453853	-0.532932	0.501987	0.532932	-1.149308	1.441804	0.508234	-1.441804	0.274111	0.464090	
101	1.246852	0.654420	0.451750	-3.970159	1.096830	3.970159	-1.174741	1.343743	0.408977	-1.343743	0.428510	0.479779	
102	2.356286	1.385320	0.452111	-8.613838	2.141763	8.613838	-1.454281	-0.266304	0.242834	0.266304	0.728184	0.501640	
103	2.766975	1.662959	0.459719	-12.174335	2.662461	12.174335	-1.773811	-1.490298	0.204561	1.490298	0.909633	0.525600	
104	1.720480	0.993891	0.468856	-10.840368	2.014808	10.840368	-1.791402	-0.186846	0.379318	0.186846	0.776723	0.548951	
105	-0.083553	-0.140998	0.470823	-2.349338	0.442838	2.349338	-1.092556	3.209532	0.584619	-3.209532	0.396088	0.566470	
106	-1.841006	-1.238852	0.461325	10.642371	-1.505317	-10.642371	0.244794	7.318660	0.788666	-7.318660	-0.075057	0.573875	
107	-3.092955	-2.048240	0.441344	21.811685	-3.179093	-21.811685	1.361013	10.720448	1.175134	-10.720448	-0.423293	0.573447	
108	-3.392678	-2.255539	0.418495	27.621300	-3.991523	-27.621300	1.767622	11.545364	1.625144	-11.545364	-0.458330	0.571081	
109	-3.028996	-2.001699	0.403330	29.778747	-4.126095	-29.778747	1.996792	10.112302	1.851948	-10.112302	-0.309565	0.570378	
110	-2.733859	-1.803675	0.398279	30.393428	-4.213703	-30.393428	2.232283	8.933180	2.049123	-8.933180	-0.225514	0.573015	
111	-2.155986	-1.468262	0.394880	28.297760	-3.997975	-28.297760	1.891716	8.271493	2.363630	-8.271493	0.088164	0.579879	
112	-0.671087	-0.519925	0.385722	22.157141	-2.759173	-22.157141	1.025330	6.949394	2.211886	-6.949394	0.918810	0.588674	
113	0.787382	0.466541	0.373810	14.850079	-0.983121	-14.850079	0.370878	5.257880	1.363772	-5.257880	1.554120	0.596919	
114	1.104508	0.699247	0.366109	9.804094	0.238449	-9.804094	-0.057692	3.360453	0.606762	-3.360453	1.356628	0.607411	
115	1.042574	0.654524	0.363550	6.363000	1.035754	-6.363000	-0.615247	1.814425	0.175549	-1.814425	1.003255	0.623474	
116	1.540124	0.969336	0.366585	3.160077	1.914309	-3.160077	-1.209815	1.079451	-0.247636	-1.079451	1.167346	0.641679	
117	1.596897	0.942900	0.375250	0.533493	2.179883	-0.533493	-1.993444	0.819461	0.066418	-0.819461	1.462809	0.656024	
118	0.369635	-0.000601	0.378846	-0.762906	1.286634	0.762906	-3.197268	2.021418	1.535898	-2.021418	1.525278	0.665216	
119	-0.661256	-0.770300	0.369542	-0.775094	0.456628	0.775094	-4.115501	4.099836	2.653980	-4.099836	1.638687	0.669552	
120	-0.338931	-0.532113	0.357624	-0.225108	0.668073	0.225108	-4.112955	4.386098	2.527314	-4.386098	2.006725	0.666752	
121	-0.084046	-0.337397	0.353387	1.301874	0.833026	-1.301874	-3.756291	4.470250	2.370001	-4.470250	2.213959	0.656630	
122	-0.827520	-0.857021	0.349795	4.214512	0.208803	-4.214512	-3.596634	6.193526	2.755434	-6.193526	1.965880	0.642735	
123	-0.977438	-0.903871	0.341918	6.567512	-0.043649	-6.567512	-2.976063	5.556532	2.461180	-5.556532	1.568825	0.626032	
124	0.222407	0.051225	0.342444	6.850724	0.601816	-6.850724	-1.424078	1.296954	1.207801	-1.296954	1.380839	0.605612	
125	1.099488	0.717966	0.359864	6.513726	1.044568	-6.513726	-0.167025	-0.840496	0.574475	0.840496	1.479358	0.585707	
126	0.823449	0.485438	0.380213	6.854992	0.857385	-6.854992	-0.344399	0.887633	1.120627	-0.887633	1.763733	0.572741	
127	0.494839	0.222998	0.390301	7.071589	0.692368	-7.071589	-0.878669	2.003522	1.413404	-2.003522	1.732274	0.565466	
128	0.496483	0.213347	0.393243	7.049920	0.575332	-7.049920	-0.715322	1.704269	1.107902	-1.704269	1.347376	0.557135	
129	-0.000343	-0.196773	0.389831	9.339805	-0.057241	-9.339805	-0.737453	3.618570	1.533906	-3.618570	1.384254	0.546057	
130	-0.976193	-0.962986	0.373079	14.985445	-1.068695	-14.985445	-1.465218	7.249051	2.592723	-7.249051	1.809223	0.535957	
131	-1.541089	-1.369021	0.347252	19.496600	-1.784875	-19.496600	-1.687090	7.848927	2.725817	-7.848927	1.615795	0.529376	
132	-1.683207	-1.429542	0.325539	18.187980	-2.224690	-18.187980	-0.831074	5.240831	1.906009	-5.240831	0.866733	0.526272	
133	-1.941137	-1.600543	0.312725	13.929785	-2.729757	-13.929785	-0.087474	3.624201	1.471471	-3.624201	0.511929	0.527071	
134	-1.953174	-1.607218	0.304421	11.209408	-2.733774	-11.209408	-0.442178	3.734982	1.707211	-3.734982	0.790214	0.531790	
135	-1.275425	-1.092562	0.296131	9.789364	-1.644293	-9.789364	-1.254661	3.897839	1.847655	-3.897839	1.137184	0.538604	
136	-0.645156	-0.624716	0.288459	8.411106	-0.337046	-8.411106	-1.818483	4.358450	1.912893	-4.358450	1.345248	0.547467	
137	-0.743796	-0.722042	0.282271	7.950573	0.096196	-7.950573	-2.239576	6.377408	2.342752	-6.377408	1.645180	0.560976	
138	-0.967923	-0.893757	0.276131	9.601405	0.028654	-9.601405	-2.483652	8.723111	2.763883	-8.723111	1.838515	0.578924	
139	-0.695852	-0.660477	0.270198	11.964483	0.157987	-11.964483	-2.318488	8.814934	2.666675	-8.814934	1.606345	0.595685	
140	-0.266628	-0.313488	0.263610	12.664265	0.374471	-12.664265	-1.945166	6.957187	2.265839	-6.957187	1.192498	0.605379	
141	0.164200	0.025352	0.253890	11.901654	0.785095	-11.901654	-1.798043	4.935828	1.966628	-4.935828	0.881766	0.606583	
142	0.918743	0.626414	0.241262	11.104070	1.745285	-11.104070	-1.868390	2.887695	1.762535	-2.887695	0.572814	0.600190	
143	1.515817	1.102516	0.229815	10.254034	2.485075	-10.254034	-1.846469	1.023636	1.516069	-1.023636	0.235468	0.587528	
144	1.168215	0.815166	0.223918	8.430966	1.990856	-8.430966	-1.730322	0.173161	1.239311	-0.173161	0.115895	0.572764	
145	0.237135	0.061817	0.222875	5.550243	0.757337	-5.550243	-1.780999	0.032276	0.976633	-0.032276	0.259011	0.561464	
146	-0.705633	-0.689788	0.223951	2.829367	-0.446378	-2.829367	-2.056487	0.063655	0.818651	-0.063655	0.551872	0.556834	
147	-1.921729	-1.660248	0.225776	1.396465	-1.856941	-1.396465	-2.345879	0.547165	0.828189	-0.547165	1.111115	0.562742	
148	-3.341490	-2.803368	0.224219	1.237786	-3.362963	-1.237786	-2.556146	1.818738	0.788859	-1.818738	1.838365	0.581850	
