kww	// User ID
16-2-2021	// Evaluation date
alex-pilot_23_74.9	11-2-2021	13:26:53:728	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
123	0.111442	-1.156352	0.296756	1.499320	0.000000	-1.499320	0.906953	-0.624473	0.610477	0.624473	-1.754257	0.284215	
124	-0.594063	-2.079395	0.321668	1.845595	-0.000000	-1.845595	1.706552	-1.073009	0.357755	1.073009	-1.539992	0.287077	
125	-0.582015	-2.129195	0.339189	1.971331	-0.000000	-1.971331	1.982797	-1.121092	0.369788	1.121092	-1.639040	0.293203	
126	-0.739353	-2.317836	0.348224	1.356652	-0.000000	-1.356652	2.181803	-1.467039	0.317098	1.467039	-1.613955	0.301590	
127	-1.128228	-2.830959	0.351223	0.315674	-0.000000	-0.315674	2.169079	-1.926706	0.205028	1.926706	-1.611419	0.309610	
128	-1.086665	-2.872637	0.350149	-0.444891	-0.000000	0.444891	1.678383	-1.809669	0.260066	1.809669	-1.858917	0.315175	
129	-0.362492	-2.130743	0.345055	-0.573540	-0.000000	0.573540	0.981920	-1.219884	0.528845	1.219884	-2.365967	0.319369	
130	0.694263	-1.123804	0.335885	0.037553	-0.000000	-0.037553	0.375504	-0.605551	0.878070	0.605551	-3.151361	0.325934	
131	1.609872	-0.332706	0.323791	1.220451	0.000000	-1.220451	-0.100148	0.039514	1.124780	-0.039514	-3.971088	0.336701	
132	2.149396	0.267016	0.311603	2.325160	0.000000	-2.325160	-0.372358	0.561456	1.174384	-0.561456	-4.273501	0.348300	
133	2.299998	0.655158	0.303560	2.712290	0.000000	-2.712290	-0.371452	0.527704	1.095969	-0.527704	-4.011845	0.355137	
134	2.048374	0.427122	0.301439	2.278026	0.000000	-2.278026	-0.198595	-0.012557	0.980543	0.012557	-3.778057	0.355607	
135	1.628589	-0.266298	0.299851	1.453104	0.000000	-1.453104	-0.098393	-0.407043	0.875124	0.407043	-3.901923	0.353574	
136	1.572710	-0.464164	0.290909	0.794145	0.000000	-0.794145	-0.203975	-0.286389	0.845579	0.286389	-4.124502	0.352405	
137	1.895907	0.089197	0.272995	0.436533	0.000000	-0.436533	-0.396358	-0.137523	0.900361	0.137523	-4.028712	0.349952	
138	2.068664	0.593279	0.251009	0.208725	0.000000	-0.208725	-0.502176	-0.167576	0.908097	0.167576	-3.644551	0.342001	
139	1.955000	0.602916	0.231864	0.060326	0.000000	-0.060326	-0.555444	-0.161727	0.837345	0.161727	-3.375803	0.327970	
140	1.775015	0.336108	0.220047	-0.008472	0.000000	0.008472	-0.637092	-0.108600	0.752349	0.108600	-3.364156	0.312164	
141	1.471323	-0.116481	0.217907	-0.040087	0.000000	0.040087	-0.635965	-0.090286	0.618921	0.090286	-3.316586	0.300141	
142	0.879322	-0.843244	0.226815	-0.066399	0.000000	0.066399	-0.412986	-0.083654	0.384213	0.083654	-2.995418	0.294870	
143	0.183123	-1.672189	0.242854	-0.136256	0.000000	0.136256	-0.052511	-0.019497	0.120313	0.019497	-2.584114	0.297073	
144	-0.240384	-2.191999	0.257674	-0.288678	0.000000	0.288678	0.212735	-0.003007	-0.030667	0.003007	-2.359465	0.305678	
145	-0.369248	-2.249778	0.266232	-0.435247	-0.000000	0.435247	0.310511	-0.141099	-0.053093	0.141099	-2.179536	0.316681	
146	-0.521820	-2.161806	0.269605	-0.467158	-0.000000	0.467158	0.385555	-0.256663	-0.076041	0.256663	-1.806785	0.325055	
147	-0.734107	-2.214293	0.270808	-0.556100	-0.000000	0.556100	0.493820	-0.395876	-0.107886	0.395876	-1.534812	0.329171	
148	-0.731917	-2.285687	0.271138	-0.991969	0.000000	0.991969	0.509781	-0.801418	-0.030655	0.801418	-1.734132	0.331556	
149	-0.527207	-2.173616	0.272574	-1.740509	0.000000	1.740509	0.389578	-1.246209	0.115216	1.246209	-2.082905	0.334576	
150	-0.344837	-1.906667	0.279376	-2.396757	0.000000	2.396757	0.260819	-1.433834	0.206781	1.433834	-2.131705	0.336941	
151	-0.061706	-1.609663	0.292393	-2.521588	0.000000	2.521588	0.162515	-1.430593	0.310566	1.430593	-2.255917	0.337239	
152	0.563242	-1.321120	0.305348	-2.007941	0.000000	2.007941	-0.012534	-1.193733	0.539924	1.193733	-2.974828	0.337829	
153	1.314897	-0.941755	0.311880	-1.019660	0.000000	1.019660	-0.223885	-0.594602	0.780169	0.594602	-3.779488	0.339045	
154	1.723950	-0.455556	0.313334	0.043276	0.000000	-0.043276	-0.272590	-0.037993	0.853546	0.037993	-3.783682	0.334213	
155	1.620884	-0.191971	0.315091	0.627271	0.000000	-0.627271	-0.093669	-0.048438	0.777031	0.048438	-3.156695	0.317970	
156	1.312556	-0.324321	0.318325	0.610945	-0.000000	-0.610945	0.123741	-0.442782	0.709834	0.442782	-2.743737	0.294933	
157	1.282943	-0.347520	0.317834	0.246088	0.000000	-0.246088	0.127300	-0.625134	0.746630	0.625134	-2.671830	0.274868	
158	1.611158	0.107717	0.307867	-0.297127	0.000000	0.297127	-0.080742	-0.443367	0.829233	0.443367	-2.528740	0.263338	
159	1.865244	0.489539	0.288896	-0.998740	0.000000	0.998740	-0.294604	-0.502414	0.883115	0.502414	-2.374689	0.259635	
160	1.767944	0.263777	0.266601	-1.884185	0.000000	1.884185	-0.400627	-1.122842	0.893739	1.122842	-2.494610	0.260662	
161	1.510451	-0.196162	0.245929	-2.764635	0.000000	2.764635	-0.399673	-1.632301	0.822242	1.632301	-2.680861	0.264114	
162	1.245062	-0.467341	0.229552	-3.164330	0.000000	3.164330	-0.259579	-1.514885	0.659936	1.514885	-2.611326	0.268282	
163	0.922506	-0.741607	0.217825	-2.580226	0.000000	2.580226	0.046128	-0.903438	0.457143	0.903438	-2.458766	0.272588	
164	0.733619	-1.009902	0.208525	-1.122098	-0.000000	1.122098	0.345601	-0.220033	0.314739	0.220033	-2.536168	0.278196	
165	1.033476	-0.776930	0.200539	0.217946	0.000000	-0.217946	0.355661	-0.053083	0.390003	0.053083	-2.760734	0.284774	
166	1.592979	-0.175554	0.194786	0.698847	0.000000	-0.698847	0.183359	-0.335726	0.616561	0.335726	-2.895543	0.288730	
167	1.651095	-0.099620	0.192146	0.383161	0.000000	-0.383161	0.295087	-0.695649	0.684397	0.695649	-2.885061	0.286947	
168	1.193321	-0.586012	0.192315	-0.730249	0.000000	0.730249	0.690290	-1.366522	0.588670	1.366522	-2.787766	0.279964	
169	1.061980	-0.656968	0.192295	-2.598737	0.000000	2.598737	0.885425	-2.219285	0.645803	2.219285	-2.705635	0.270233	
170	1.340018	-0.266770	0.186625	-4.509658	0.000000	4.509658	0.909420	-2.720700	0.849443	2.720700	-2.685309	0.259033	
171	1.219170	-0.430110	0.174317	-5.720370	0.000000	5.720370	1.166279	-3.234115	0.903008	3.234115	-2.731550	0.246871	
172	0.626639	-1.204096	0.162090	-6.178568	-0.000000	6.178568	1.453518	-4.103958	0.801703	4.103958	-2.809332	0.235570	
173	0.278780	-1.575758	0.155668	-5.891125	-0.000000	5.891125	1.333949	-4.322243	0.713123	4.322243	-2.759496	0.228674	
174	0.264789	-1.339312	0.153875	-4.860747	-0.000000	4.860747	0.967000	-3.506143	0.619754	3.506143	-2.406844	0.229145	
175	0.146220	-1.193219	0.155151	-3.528531	-0.000000	3.528531	0.713128	-2.629877	0.469162	2.629877	-1.969989	0.236739	
176	0.098504	-1.183876	0.160808	-2.407449	-0.000000	2.407449	0.497013	-2.121898	0.399433	2.121898	-1.846498	0.249429	
177	0.529978	-0.802889	0.169447	-1.671366	-0.000000	1.671366	0.160871	-1.592293	0.493997	1.592293	-2.013483	0.265178	
178	1.128180	-0.215724	0.179302	-1.233841	0.000000	1.233841	-0.113935	-1.044246	0.594761	1.044246	-2.150827	0.280233	
179	1.411097	0.042064	0.192575	-0.939646	0.000000	0.939646	-0.166169	-0.819901	0.584362	0.819901	-2.184546	0.289838	
180	1.495676	0.010454	0.210217	-0.701479	0.000000	0.701479	-0.101722	-0.855976	0.525412	0.855976	-2.257899	0.292311	
181	1.692692	0.085870	0.228495	-0.454118	0.000000	0.454118	-0.049923	-0.751401	0.468022	0.751401	-2.385873	0.289386	
182	1.976257	0.377490	0.242841	-0.111394	0.000000	0.111394	-0.042036	-0.383839	0.395483	0.383839	-2.421763	0.283249	
183	2.008259	0.552008	0.251706	0.299052	0.000000	-0.299052	-0.033329	0.011226	0.285121	-0.011226	-2.249847	0.275388	
184	1.503554	0.179599	0.257148	0.620724	0.000000	-0.620724	0.034405	0.193972	0.142442	-0.193972	-1.915768	0.266815	
185	0.709164	-0.605925	0.261638	0.811142	0.000000	-0.811142	0.129743	0.224333	0.009764	-0.224333	-1.617541	0.258012	
186	0.317850	-1.030639	0.264457	0.944633	0.000000	-0.944633	0.158566	0.297686	-0.057016	-0.297686	-1.513201	0.248063	
187	0.628368	-0.704845	0.262402	1.027729	0.000000	-1.027729	0.102814	0.455413	-0.049293	-0.455413	-1.589588	0.235107	
188	1.077163	-0.290053	0.254274	1.059083	0.000000	-1.059083	0.050521	0.625395	-0.029613	-0.625395	-1.754974	0.219670	
189	1.022854	-0.500117	0.243443	0.977540	0.000000	-0.977540	0.070889	0.630678	-0.041859	-0.630678	-1.886575	0.205669	
190	0.680202	-0.991665	0.234052	0.727595	0.000000	-0.727595	0.128717	0.467918	-0.063845	-0.467918	-1.935431	0.197256	
191	0.610408	-1.078145	0.226631	0.431430	0.000000	-0.431430	0.152902	0.406609	-0.053636	-0.406609	-1.954557	0.196060	
192	0.636335	-1.000001	0.218768	0.197778	0.000000	-0.197778	0.169072	0.479048	-0.025929	-0.479048	-1.934025	0.199696	
193	0.196466	-1.419083	0.210665	-0.066474	-0.000000	0.066474	0.271260	0.338291	-0.055882	-0.338291	-1.803149	0.202468	
