kww	// User ID
16-2-2021	// Evaluation date
luke-pilot_12_59.5	3-2-2021	11:59:19:861	// Source file name and timestamp
238.095	// Sampling rate
4.000	// Data capture period

1.835409	// height
81.720696	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
113	1.843841	0.380964	0.038732	0.897016	0.000000	-0.897016	-0.000000	0.350608	0.000000	-0.350608	-0.104036	0.034617	
114	1.847170	0.404009	0.036912	0.758126	0.000000	-0.758126	-0.000000	0.278482	0.000000	-0.278482	-0.112458	0.044188	
115	1.778687	0.387326	0.034346	0.540740	0.000000	-0.540740	-0.000000	0.172176	0.000000	-0.172176	-0.109448	0.055540	
116	1.649925	0.321052	0.031091	0.283370	0.000000	-0.283370	-0.000000	0.056186	0.000000	-0.056186	-0.094157	0.065612	
117	1.529535	0.226945	0.027906	0.070084	0.000000	-0.070084	-0.000000	-0.040387	0.000000	0.040387	0.000000	0.073241	
118	1.491063	0.180895	0.025111	-0.082816	0.000000	0.082816	0.000000	-0.122211	0.000000	0.122211	0.000000	0.078137	
119	1.528405	0.209801	0.023276	-0.202046	0.000000	0.202046	-0.011608	-0.203019	0.219950	0.203019	-0.046145	0.082152	
120	1.583093	0.257650	0.023790	-0.262449	0.000000	0.262449	-0.012886	-0.258035	0.238401	0.258035	-0.034533	0.087386	
121	1.634578	0.290789	0.026426	-0.217410	0.000000	0.217410	-0.017016	-0.250176	0.249883	0.250176	-0.026554	0.093228	
122	1.689124	0.326172	0.029441	-0.075836	0.000000	0.075836	-0.020177	-0.184604	0.254912	0.184604	0.000000	0.098580	
123	1.707045	0.340433	0.032052	0.116859	0.000000	-0.116859	-0.014454	-0.100083	0.254426	0.100083	0.000000	0.102348	
124	1.645525	0.287881	0.034139	0.309331	0.000000	-0.309331	-0.004620	-0.015718	0.251790	0.015718	-0.020267	0.102452	
