kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_21_62.7	12-2-2021	09:41:38:906	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
95	-3.149242	-2.652377	214.680741	-2.987612	-0.982885	2.987612	-0.380980	1.688514	-1.949697	-1.688514	1.662557	
96	-1.978973	-1.849136	210.917136	-0.137967	-0.794943	0.137967	-3.140477	4.143993	0.223965	-4.143993	-0.806510	
97	-0.854850	-0.969652	206.945723	1.316111	-0.522976	-1.316111	-4.614765	5.261086	1.444377	-5.261086	-2.072078	
98	-0.255143	-0.409350	203.672316	1.734632	-0.363469	-1.734632	-3.963404	4.454623	1.347148	-4.454623	-1.773469	
99	-0.333527	-0.402441	201.031553	1.270740	-0.494755	-1.270740	-1.712963	2.486443	0.700448	-2.486443	-0.940389	
100	-0.789451	-0.678417	198.439581	0.299169	-0.879554	-0.299169	1.093679	1.095202	-0.459820	-1.095202	0.403631	
101	-1.281555	-0.842976	196.221709	-1.323814	-1.332732	1.323814	4.439506	0.307158	-2.818159	-0.307158	3.092727	
102	-1.764684	-0.911864	194.960774	-3.509896	-1.649751	3.509896	8.514839	-1.431133	-5.901036	1.431133	6.476455	
103	-2.274466	-1.103566	194.122076	-5.047436	-1.758828	5.047436	12.345570	-4.304628	-8.141555	4.304628	8.766371	
104	-2.718019	-1.433509	193.022863	-6.095242	-1.759036	6.095242	14.075266	-6.495328	-8.770252	6.495328	9.217419	
105	-2.987601	-1.746082	192.256188	-6.859779	-1.689647	6.859779	12.930805	-6.840739	-8.336604	6.840739	8.476000	
106	-3.096165	-1.929321	192.798085	-6.564243	-1.511124	6.564243	10.851724	-6.383226	-7.761102	6.383226	7.576824	
107	-3.112947	-1.960776	194.730762	-5.459618	-1.326383	5.459618	10.305646	-6.455050	-7.615385	6.455050	7.207489	
108	-2.993775	-1.814390	197.577527	-4.697468	-1.245317	4.697468	10.715562	-6.534561	-7.819941	6.534561	7.358026	
109	-2.644318	-1.478966	200.978429	-4.380273	-1.217757	4.380273	10.273436	-5.927229	-7.877767	5.927229	7.513058	
110	-2.183085	-1.111737	204.634598	-3.905332	-1.216926	3.905332	9.187305	-5.104412	-7.409979	5.104412	7.153237	
111	-1.882977	-0.950788	207.956092	-3.140730	-1.268555	3.140730	8.246298	-4.131496	-6.482162	4.131496	6.171240	
112	-1.824204	-1.009640	210.167045	-2.536709	-1.335619	2.536709	7.279864	-2.704670	-5.588285	2.704670	5.053046	
113	-1.869962	-1.117172	210.889161	-2.329255	-1.375657	2.329255	6.273054	-1.173605	-5.089191	1.173605	4.305098	
114	-1.927613	-1.204601	210.258112	-2.059779	-1.366068	2.059779	5.745043	-0.002377	-4.805632	0.002377	3.795651	
115	-1.992288	-1.324825	208.281872	-1.225317	-1.300782	1.225317	5.917575	0.768388	-4.238398	-0.768388	2.989008	
116	-1.991313	-1.473389	204.457272	-0.289186	-1.234031	0.289186	6.333355	1.069001	-2.928536	-1.069001	1.510478	
117	-1.788330	-1.524593	198.449602	-0.085602	-1.212376	0.085602	6.309453	0.753325	-0.952106	-0.753325	-0.384489	
118	-1.434004	-1.437425	190.999668	-0.517198	-1.191537	0.517198	5.506078	-0.064771	0.948854	0.064771	-1.979720	
119	-1.279683	-1.462001	183.485606	-0.986345	-1.081525	0.986345	3.764252	-0.777833	2.169648	0.777833	-2.979313	
120	-1.630804	-1.859896	176.545973	-1.263230	-0.867994	1.263230	1.218613	-0.604533	2.567245	0.604533	-3.486063	
121	-2.351857	-2.473408	169.958339	-1.600571	-0.680215	1.600571	-0.988624	0.073003	1.915828	-0.073003	-3.223958	
122	-3.068354	-2.923502	163.925890	-2.359123	-0.670310	2.359123	-1.202109	-0.208182	-0.000442	0.208182	-1.773852	
