kww	// User ID
11-2-2021	// Evaluation date
kyle-pilot2_02_31.9	10-2-2021	15:01:14:883	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
173	-3.018424	-2.265010	93.683644	1.572855	-2.126335	-1.572855	3.085974	-0.543521	-1.698540	0.543521	2.297130	
174	-2.522144	-1.808387	91.345604	1.298619	-1.590806	-1.298619	2.373806	-0.470118	-1.344841	0.470118	2.058436	
175	-2.134125	-1.466826	89.272588	1.077770	-1.178821	-1.077770	1.874032	-0.349860	-1.091824	0.349860	1.848407	
176	-1.770684	-1.126834	87.511206	0.982272	-0.704722	-0.982272	1.560538	-0.264939	-0.919111	0.264939	1.679367	
177	-1.413384	-0.806369	86.125368	0.849766	-0.337091	-0.849766	1.290437	-0.207615	-0.769373	0.207615	1.473449	
178	-1.309998	-0.761471	84.979015	0.621375	-0.411949	-0.621375	1.108910	-0.151533	-0.648357	0.151533	1.333969	
179	-1.555372	-1.027214	83.773527	0.482009	-0.745404	-0.482009	1.159671	-0.130084	-0.600150	0.130084	1.417449	
180	-1.862701	-1.304616	82.329796	0.524110	-0.912292	-0.524110	1.353534	-0.162417	-0.613243	0.162417	1.603548	
181	-1.986811	-1.417331	80.679619	0.590047	-0.925706	-0.590047	1.432754	-0.166414	-0.620473	0.166414	1.663773	
182	-2.090424	-1.561316	78.786912	0.658597	-1.083317	-0.658597	1.388865	-0.066691	-0.591161	0.066691	1.642806	
183	-2.345291	-1.865079	76.421658	0.944323	-1.384651	-0.944323	1.424155	0.116016	-0.569367	-0.116016	1.694586	
184	-2.534056	-2.071290	73.522414	1.411156	-1.527199	-1.411156	1.532281	0.277506	-0.607263	-0.277506	1.763896	
185	-2.463832	-1.998665	70.386217	1.726107	-1.406558	-1.726107	1.534473	0.326642	-0.677742	-0.326642	1.743129	
186	-2.285748	-1.822992	67.306001	1.789250	-1.229687	-1.789250	1.417241	0.314075	-0.728775	-0.314075	1.673026	
