kww	// User ID
12-2-2021	// Evaluation date
alex-pilot_05_38.6	11-2-2021	13:21:35:280	// Source file name and timestamp
238.095	// Sampling rate
4.332	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
167	0.953483	-0.532074	262.884660	10.311209	1.610003	-10.311209	-3.961740	1.388507	4.445636	-1.388507	2.687669	
168	0.658091	-0.868117	258.283272	5.900426	2.068816	-5.900426	-5.245411	4.016847	5.401111	-4.016847	1.571519	
169	0.467604	-1.077562	254.044834	3.735376	1.959440	-3.735376	-5.969339	6.130533	5.913604	-6.130533	0.979525	
170	0.220728	-1.284507	250.451806	2.956618	1.357164	-2.956618	-6.159964	6.689926	6.347643	-6.689926	0.165179	
171	-0.242067	-1.697216	247.931964	2.140562	0.813062	-2.140562	-6.865577	7.116987	7.495190	-7.116987	-1.719711	
172	-0.489387	-1.926143	246.496956	2.107280	0.548757	-2.107280	-7.228858	7.530306	8.105667	-7.530306	-2.674308	
173	-0.398162	-1.802853	245.742424	4.576278	0.399597	-4.576278	-6.927486	7.342365	7.612234	-7.342365	-2.044408	
174	-0.353431	-1.675467	245.497705	8.402929	0.338584	-8.402929	-6.898063	6.567786	7.090399	-6.567786	-1.583623	
175	-0.238673	-1.578720	245.899905	11.585016	0.476938	-11.585016	-6.928571	5.555958	6.723119	-5.555958	-0.774490	
176	0.311090	-1.292382	246.782693	13.831312	0.737534	-13.831312	-6.304182	5.246563	5.947017	-5.246563	2.095815	
177	0.863598	-1.020904	247.627937	14.857414	0.949896	-14.857414	-5.763942	6.116363	5.275587	-6.116363	4.994722	
178	0.717161	-1.104530	248.190941	14.020761	0.990105	-14.020761	-6.215328	6.800995	5.473081	-6.800995	4.567496	
179	0.141396	-1.390864	248.586835	11.258747	0.802703	-11.258747	-6.931196	5.917197	6.074479	-5.917197	2.049681	
180	0.082310	-1.387551	248.657081	7.299063	0.568544	-7.299063	-6.343567	4.473101	5.826589	-4.473101	1.922505	
181	0.689376	-0.941948	247.933125	3.857221	0.665938	-3.857221	-4.128408	4.248315	4.257729	-4.248315	4.869081	
182	1.087385	-0.478305	246.440818	3.042740	1.033784	-3.042740	-1.804209	4.219205	2.512536	-4.219205	6.632272	
183	0.986802	-0.274784	244.757078	5.038185	1.055520	-5.038185	-0.533526	2.522245	1.558810	-2.522245	5.919318	
184	1.171022	-0.060010	242.984162	7.739611	0.751488	-7.739611	0.383620	1.073599	0.727140	-1.073599	6.721377	
185	1.849805	0.294477	240.427606	9.306285	0.919977	-9.306285	1.561413	1.683945	-0.418167	-1.683945	10.071702	
186	2.196943	0.473735	236.632098	9.631824	1.791107	-9.631824	2.360441	2.485843	-1.088400	-2.485843	11.770031	
187	1.980372	0.379903	231.977370	9.084497	2.795464	-9.084497	2.431748	1.851615	-0.989895	-1.851615	10.696762	
188	1.761348	0.162702	226.990973	7.171018	3.633743	-7.171018	1.956704	1.397781	-0.437408	-1.397781	9.867720	
189	1.425207	-0.298640	221.995588	4.327640	4.202115	-4.327640	0.380647	2.482102	0.957355	-2.482102	8.912258	
190	0.743156	-0.803550	217.555759	2.073651	3.987495	-2.073651	-1.443811	3.260122	2.364002	-3.260122	6.067193	
191	0.383361	-0.861198	214.303869	1.622201	3.007790	-1.622201	-1.882670	2.336198	2.364524	-2.336198	4.196978	
192	0.600836	-0.824137	212.263057	3.485535	2.338366	-3.485535	-2.150505	3.211705	2.136101	-3.211705	5.681897	
193	0.856388	-1.018357	210.974995	7.235647	2.440392	-7.235647	-2.916949	7.018913	2.507139	-7.018913	8.059973	
194	0.897147	-0.996299	210.197691	11.914254	2.414932	-11.914254	-2.776166	8.430163	2.314269	-8.430163	8.527571	
195	0.644550	-0.995138	210.022061	15.568191	1.801319	-15.568191	-2.823554	7.347014	2.310952	-7.347014	7.148751	
196	0.160473	-1.512087	210.438465	16.491885	1.321402	-16.491885	-4.295785	8.443911	3.666533	-8.443911	5.802147	
197	-0.018627	-1.783506	211.160544	15.154167	1.333997	-15.154167	-4.860590	9.630050	4.411666	-9.630050	5.758140	
198	0.338182	-1.167539	211.826201	12.300906	1.293589	-12.300906	-2.974497	7.342831	2.988161	-7.342831	6.398126	
199	0.770441	-0.476622	212.150176	8.174204	0.956463	-8.174204	-0.926141	4.191971	1.325625	-4.191971	7.114124	
200	0.971610	-0.437528	211.940132	3.999094	0.867467	-3.999094	-0.637396	3.036491	1.204405	-3.036491	8.390329	
201	1.111549	-0.519339	211.251113	1.063828	1.268997	-1.063828	-0.706212	2.592715	1.344686	-2.592715	9.697673	
202	1.276097	-0.196668	210.536193	-0.614405	1.603857	0.614405	0.238962	0.729127	0.501447	-0.729127	9.702131	
203	1.219715	-0.098829	210.270174	-1.005824	1.686548	1.005824	0.440599	-0.680344	0.214140	0.680344	8.971675	
204	0.793684	-0.866787	210.441202	0.702950	2.082878	-0.702950	-1.761622	1.204584	1.929322	-1.204584	9.121636	
205	0.315358	-1.754311	210.666598	4.363165	2.730226	-4.363165	-4.179332	4.643827	3.800388	-4.643827	9.602276	
206	0.079739	-1.805321	210.723052	8.145075	2.588393	-8.145075	-4.316513	5.530163	3.748805	-5.530163	8.439630	
207	-0.130335	-1.452785	210.725184	10.066503	1.398955	-10.066503	-3.413101	4.043998	2.902119	-4.043998	5.610968	
208	-0.333741	-1.325821	210.802367	9.641336	0.118495	-9.641336	-2.993056	3.261441	2.584123	-3.261441	3.709949	
209	0.035968	-0.948806	210.761561	8.339291	-0.576016	-8.339291	-2.005280	3.266525	1.723958	-3.266525	5.017043	
210	1.105415	0.022372	210.274868	7.403618	-0.839441	-7.403618	0.151029	3.234054	-0.397346	-3.234054	8.885726	
211	2.183385	0.922246	209.294704	6.454953	-0.825878	-6.454953	1.990266	3.459283	-2.427747	-3.459283	13.022483	
212	2.723588	1.134229	208.038568	5.975613	-0.351964	-5.975613	2.311865	4.114011	-3.087078	-4.114011	16.221970	
