kww	// User ID
9-7-2021	// Evaluation date
p34_warmup_017_638	9-7-2021	10:47:01:074	// Source file name and timestamp
357.143	// Sampling rate
0.683	// Data capture period

1.680000	// height
62.100000	// mass


Sample #	elb_var	shldrIR	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldIR	
83	1.396524	-0.718254	14.691587	-43.770807	-14.691587	62.377479	-11.967832	-20.506133	11.967832	32.968016	3.308346	5.794320	-29.311263	-4.196276	
84	1.436944	-0.575378	19.534224	-48.719128	-19.534224	67.493503	-14.419090	-19.889745	14.419090	31.064413	3.341905	5.864884	-28.291794	-3.085189	
85	1.500695	-0.427367	23.445685	-54.278822	-23.445685	73.002555	-17.471960	-19.169129	17.471960	29.170004	3.373044	5.932924	-27.259077	-1.963908	
86	1.592403	-0.268531	26.179795	-60.489380	-26.179795	78.910150	-21.232051	-18.385705	21.232051	27.326400	3.402458	5.998141	-26.211601	-0.830042	
87	1.713131	-0.096629	27.907962	-67.411519	-27.907962	85.300521	-25.754518	-17.584905	25.754518	25.566746	3.430877	6.060267	-25.147400	0.318627	
88	1.859941	0.084537	28.819059	-75.137157	-28.819059	92.335332	-31.051520	-16.814950	31.051520	23.918708	3.458922	6.119135	-24.064379	1.483724	
89	2.029247	0.272246	28.891418	-83.750816	-28.891418	100.137510	-37.132963	-16.057584	37.132963	22.330728	3.487070	6.174754	-22.960307	2.666263	
90	2.221377	0.473131	28.074433	-93.266353	-28.074433	108.660610	-44.052730	-15.201072	44.052730	20.653140	3.515580	6.227436	-21.832616	3.866928	
91	2.439644	0.695075	26.300224	-103.700618	-26.300224	117.845277	-51.925196	-14.177395	51.925196	18.802102	3.544548	6.277683	-20.678348	5.086233	
92	2.689497	0.941751	23.239116	-115.153469	-23.239116	127.754162	-60.923388	-13.004477	60.923388	16.799898	3.574197	6.325861	-19.494271	6.324490	
93	2.975748	1.214518	18.469241	-127.757901	-18.469241	138.506584	-71.211899	-11.687503	71.211899	14.651360	3.605045	6.371968	-18.276997	7.581848	
94	3.294027	1.506144	11.799345	-141.645042	-11.799345	150.297527	-82.856097	-10.260546	82.856097	12.388965	3.637792	6.415692	-17.022994	8.858552	
95	3.633883	1.802953	3.200923	-156.968256	-3.200923	163.394670	-95.879995	-8.832297	95.879995	10.131771	3.673205	6.456651	-15.728505	10.155309	
96	3.992316	2.101855	-7.430855	-173.864606	7.430855	177.932526	-110.396360	-7.457966	110.396360	7.948123	3.712091	6.494624	-14.389485	11.473573	
97	4.376498	2.418615	-20.404151	-192.346975	20.404151	193.723853	-126.619589	-6.053995	126.619589	5.757442	3.755228	6.529507	-13.001740	12.815429	
98	4.795014	2.775760	-36.184616	-212.305533	36.184616	210.391153	-144.767201	-4.476361	144.767201	3.406265	3.803261	6.561114	-11.561521	14.182808	
99	5.249065	3.185537	-55.197957	-233.629442	55.197957	227.672202	-164.951781	-2.621771	164.951781	0.768215	3.856584	6.589190	-10.066398	15.576449	
100	5.732548	3.642819	-77.559486	-256.380789	77.559486	245.688140	-187.214511	-0.520837	187.214511	-2.166239	3.915246	6.613443	-8.515833	16.995421	
101	6.239700	4.129499	-103.100499	-280.863852	103.100499	264.985725	-211.659273	1.610388	211.659273	-5.235496	3.979167	6.633416	-6.911075	18.437374	
102	6.767532	4.627409	-131.680462	-307.345442	131.680462	286.103384	-238.400625	3.528425	238.400625	-8.251493	4.048516	6.648527	-5.254472	19.899101	
103	7.311037	5.123872	-163.266852	-335.804767	163.266852	309.233130	-267.394215	5.120951	267.394215	-11.145025	4.123708	6.658153	-3.548707	21.377160	
104	7.862258	5.607072	-197.827782	-366.078478	197.827782	334.422522	-298.480263	6.333264	298.480263	-13.892450	4.205095	6.661642	-1.796276	22.868458	
105	8.414616	6.066226	-235.331322	-398.007023	235.331322	361.747409	-331.565118	7.092662	331.565118	-16.448457	4.292855	6.658433	0.000887	24.370664	
106	8.967463	6.498127	-275.800942	-431.344739	275.800942	391.156889	-366.701201	7.353990	366.701201	-18.795179	4.387134	6.648081	1.841697	25.882374	
107	9.528572	6.910711	-319.301086	-465.718812	319.301086	422.387703	-404.048953	7.134279	404.048953	-20.979768	4.488180	6.630048	3.726012	27.403019	
108	10.106152	7.312001	-365.826108	-500.708914	365.826108	455.165316	-443.685936	6.460500	443.685936	-23.058993	4.596370	6.603624	5.654445	28.932441	
109	10.697486	7.695939	-415.221543	-535.830551	415.221543	489.337192	-485.395693	5.319557	485.395693	-25.029880	4.712093	6.568091	7.628129	30.470559	
110	11.295098	8.051150	-467.254139	-570.468077	467.254139	524.682574	-528.793822	3.764284	528.793822	-26.926923	4.835567	6.523031	9.648723	32.017522	
111	11.896779	8.377377	-521.678598	-603.876590	521.678598	560.666686	-573.535162	2.028555	573.535162	-28.941869	4.966726	6.468616	11.718657	33.574221	
112	12.497153	8.677592	-578.092840	-635.204047	578.092840	596.500095	-619.084577	0.379193	619.084577	-31.266109	5.105188	6.405451	13.841292	35.142723	
113	13.085003	8.948239	-635.874522	-663.644181	635.874522	631.444862	-664.692976	-1.044885	664.692976	-33.943340	5.250203	6.333879	16.020718	36.726281	
114	13.657497	9.189623	-694.427897	-688.701230	694.427897	664.995339	-709.927420	-2.109765	709.927420	-37.027936	5.400767	6.253556	18.261388	38.328868	
115	14.213576	9.405022	-753.052998	-709.977023	753.052998	696.548336	-754.319903	-2.587339	754.319903	-40.648503	5.555725	6.163889	20.568058	39.954816	
116	14.743378	9.601509	-810.714913	-726.650602	810.714913	724.674455	-796.670668	-2.165631	796.670668	-44.978163	5.713576	6.064574	22.945857	41.608888	
117	15.241987	9.797678	-866.477534	-737.872123	866.477534	747.418736	-835.776973	-0.490245	835.776973	-50.268438	5.872556	5.955645	25.399738	43.296339	
118	15.715680	10.002645	-919.740044	-743.755651	919.740044	763.892888	-871.365212	2.642208	871.365212	-56.673779	6.031164	5.837396	27.933560	45.022799	
119	16.183219	10.217840	-970.219573	-745.423286	970.219573	774.556836	-904.265269	7.328091	904.265269	-64.260006	6.188417	5.710381	30.550085	46.794415	
120	16.671596	10.461656	-1017.943242	-744.141043	1017.943242	779.855024	-935.948700	13.810164	935.948700	-73.225492	6.343988	5.575373	33.251753	48.617981	
121	17.194866	10.753362	-1062.812333	-740.768128	1062.812333	779.742270	-967.526194	22.412479	967.526194	-83.782750	6.498425	5.433239	36.041028	50.500611	
122	17.751321	11.099030	-1104.437744	-735.971375	1104.437744	774.180174	-999.566821	33.423114	999.566821	-96.040860	6.653021	5.284810	38.920288	52.449533	
123	18.334198	11.502184	-1142.272295	-730.393134	1142.272295	763.176426	-1032.522514	47.128035	1032.522514	-110.078562	6.809497	5.130787	41.891759	54.472212	
124	18.927540	11.965437	-1175.527613	-724.238414	1175.527613	746.297772	-1066.538788	63.770489	1066.538788	-125.928043	6.969807	4.971596	44.957208	56.576013	
125	19.506826	12.492591	-1203.296823	-717.361248	1203.296823	722.750195	-1101.601439	83.488842	1101.601439	-143.585114	7.136080	4.807418	48.117131	58.766886	
126	20.053941	13.096184	-1224.778856	-710.113053	1224.778856	692.329320	-1138.383011	106.283776	1138.383011	-163.062047	7.310758	4.638611	51.369634	61.047541	
127	20.562129	13.792235	-1239.329888	-703.557625	1239.329888	655.907198	-1178.368261	131.904088	1178.368261	-184.260325	7.496891	4.466028	54.709424	63.415509	
128	21.018415	14.578216	-1246.189727	-698.642828	1246.189727	614.886166	-1222.619533	159.593261	1222.619533	-206.643290	7.698227	4.290821	58.127072	65.860965	
129	21.393746	15.424655	-1243.947241	-695.551226	1243.947241	570.635849	-1270.836982	187.985740	1270.836982	-229.109487	7.918847	4.114137	61.608608	68.363867	
130	21.660192	16.292667	-1230.706815	-693.911845	1230.706815	524.664565	-1321.834801	215.354493	1321.834801	-250.249368	8.162713	3.937026	65.135551	70.889540	
131	21.807118	17.146446	-1204.808718	-693.078057	1204.808718	478.914330	-1374.038841	239.945489	1374.038841	-268.678287	8.433264	3.760369	68.685372	73.381943	
132	21.848695	17.966045	-1165.037588	-692.349078	1165.037588	435.481997	-1426.035313	260.389580	1426.035313	-283.404644	8.732934	3.584757	72.232156	75.753770	
133	21.815833	18.748112	-1110.402927	-690.892621	1110.402927	396.045053	-1476.606045	275.761635	1476.606045	-293.788613	9.062953	3.410577	75.747288	77.871378	
134	21.727139	19.471700	-1039.527845	-686.621283	1039.527845	361.119735	-1522.613172	285.144324	1522.613172	-299.073094	9.423180	3.238284	79.199973	79.530810	
135	21.566069	20.083123	-950.450659	-675.611467	950.450659	329.364029	-1557.308901	287.613382	1557.308901	-298.390195	9.811450	3.068473	82.557405	80.418557	
136	21.278829	20.515665	-842.201859	-653.557969	842.201859	298.109102	-1571.919278	282.514874	1571.919278	-291.103908	10.222905	2.901747	85.784688	80.049536	
137	20.786491	20.701605	-716.102625	-617.593909	716.102625	264.895026	-1558.665528	269.461417	1558.665528	-276.978531	10.650322	2.738679	88.844953	77.686594	
138	20.007345	20.578714	-575.132249	-566.997604	575.132249	228.637500	-1513.126637	248.326429	1513.126637	-256.259436	11.085639	2.579845	91.700090	72.309057	
139	18.898932	20.110084	-423.167835	-503.018711	423.167835	189.817925	-1435.913103	219.711313	1435.913103	-229.967666	11.522040	2.425705	94.312234	62.930674	
140	17.513755	19.315143	-264.611040	-428.019549	264.611040	149.392849	-1332.828977	185.881788	1332.828977	-200.551523	11.955534	2.276522	96.645749	49.855228	
141	16.042040	18.310264	-104.311376	-344.688708	104.311376	107.329981	-1212.981448	151.268721	1212.981448	-172.418290	12.384781	2.132557	98.668948	35.997908	
142	14.768327	17.293095	52.209533	-255.445668	-52.209533	61.709571	-1084.393857	121.170899	1084.393857	-151.276870	12.808750	1.994134	100.354429	24.879763	
143	13.895075	16.404261	198.923094	-162.232747	-198.923094	9.729970	-950.179799	99.038113	950.179799	-142.027047	13.223956	1.861498	101.677402	17.564248	
144	13.426023	15.636530	329.594463	-67.878322	-329.594463	-48.718149	-811.325565	85.251128	811.325565	-147.229916	13.624340	1.734825	102.613162	13.209997	
145	13.263572	14.934121	438.281381	22.846170	-438.281381	-108.864020	-671.588317	78.224710	671.588317	-167.640532	14.003585	1.614217	103.135392	10.645742	
146	13.314487	14.288130	520.088536	104.401687	-520.088536	-162.201307	-536.962227	75.247840	536.962227	-202.823898	14.356516	1.499634	103.214830	8.949525	
147	13.476170	13.717655	571.761144	172.131176	-571.761144	-198.557985	-413.078091	72.589701	413.078091	-250.764480	14.678616	1.390950	102.817230	7.470823	
148	13.622632	13.259985	591.857881	223.032219	-591.857881	-208.203079	-304.110337	66.052086	304.110337	-307.810981	14.965256	1.287898	101.900862	5.733519	
149	13.601170	12.972081	580.698291	256.420004	-580.698291	-184.600313	-211.356092	51.826696	211.356092	-368.836064	15.211094	1.189872	100.413332	3.334253	
150	13.216575	12.893474	541.933615	275.250282	-541.933615	-128.310999	-130.625495	28.121808	130.625495	-427.820291	15.408203	1.096023	98.287254	-0.157760	
151	12.296105	13.054035	486.543489	287.048814	-486.543489	-48.476751	-50.618053	-3.354792	50.618053	-479.909710	15.541823	1.005623	95.435696	-5.317555	
152	10.833450	13.556743	438.065217	303.211810	-438.065217	44.786393	45.306152	-39.976914	-45.306152	-522.881094	15.585043	0.918296	91.748050	-13.030097	
153	9.125031	14.637113	438.858493	336.625930	-438.858493	159.895777	172.793217	-87.165064	-172.793217	-555.230118	15.494362	0.833833	87.086036	-24.703090	
154	7.935443	16.656730	552.143207	394.942041	-552.143207	353.917018	332.425532	-174.925313	-332.425532	-568.265145	15.208583	0.751959	81.282579	-42.185729	
155	8.623613	19.909249	839.084837	465.975241	-839.084837	751.112328	487.151789	-373.651850	-487.151789	-530.137781	14.659056	0.672588	74.152798	-65.916056	
156	12.423241	23.677548	1285.573825	506.382610	-1285.573825	1454.438653	552.633309	-748.396337	-552.633309	-388.738681	13.808591	0.596162	65.532087	-91.400835	
157	16.788837	24.088399	1722.963894	485.563256	-1722.963894	2202.179367	467.630496	-1122.817695	-467.630496	-211.574747	12.740676	0.523484	55.356493	-112.686859	
158	13.512556	16.104129	1875.957217	452.326005	-1875.957217	2308.876963	285.540003	-1029.782543	-285.540003	-297.154473	11.783117	0.455345	43.780771	-128.673868	
159	8.359620	4.679564	1460.761773	298.260091	-1460.761773	2028.341781	-66.922292	-782.191263	66.922292	-310.943555	11.483033	0.392513	31.271463	-140.855212	
160	14.939707	-3.798664	604.135525	-95.226584	-604.135525	2017.881915	-563.051910	-893.467554	563.051910	325.629978	12.141617	0.335879	18.560842	-150.503902	
161	25.552065	-9.663855	-47.383325	-466.780011	47.383325	2043.508543	-801.714187	-1023.914918	801.714187	1099.211035	13.390718	0.286344	6.430030	-158.275637	
162	31.001219	-12.610779	-116.753672	-613.840911	116.753672	1937.901744	-604.580104	-988.377023	604.580104	1434.687418	14.589425	0.244593	-4.529709	-164.468180	
163	29.632047	-13.107654	255.287258	-554.173241	-255.287258	1679.534686	-125.924788	-812.030206	125.924788	1232.719751	15.343193	0.211057	-14.015739	-169.237801	
164	23.657267	-12.590436	729.481336	-401.731800	-729.481336	1306.626642	369.736681	-560.596723	-369.736681	768.888164	15.575325	0.186047	-21.971857	-172.696433	
165	16.394770	-11.953822	1098.318889	-253.832044	-1098.318889	929.045919	719.433133	-319.451097	-719.433133	359.504041	15.391055	0.169891	-28.491516	-174.943644	
