"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","max_elb_var","max_shldr_ir"
"206","p06",24,210.2,74,"R",72.4,38.8,16,53.6,29.123737,42.283856
"207","p06",24,210.2,74,"R",72.4,38.8,17,53.8,28.821292,42.008561
"208","p06",24,210.2,74,"R",72.4,38.8,18,55.6,30.99507,44.11852
"209","p06",24,210.2,74,"R",72.4,38.8,19,57.3,32.375073,47.436877
"210","p06",24,210.2,74,"R",72.4,38.8,20,58.2,32.634657,46.793211
"211","p06",24,210.2,74,"R",72.4,38.8,21,59.1,33.444978,49.658074
"212","p06",24,210.2,74,"R",72.4,38.8,22,58.6,32.955668,46.833438
"213","p06",24,210.2,74,"R",72.4,38.8,23,61.9,38.052351,54.644617
"214","p06",24,210.2,74,"R",72.4,38.8,24,63.8,39.339184,55.157446
"215","p06",24,210.2,74,"R",72.4,38.8,25,62.8,38.360515,57.932435
"216","p06",24,210.2,74,"R",72.4,38.8,26,63.6,40.091272,58.544372
"217","p06",24,210.2,74,"R",72.4,38.8,27,64.8,41.023142,58.870187
"218","p06",24,210.2,74,"R",72.4,38.8,28,67.8,47.049519,66.248776
"219","p06",24,210.2,74,"R",72.4,38.8,29,68.9,48.3092,68.342232
"220","p06",24,210.2,74,"R",72.4,38.8,30,69,48.742867,68.321715
"221","p06",24,210.2,74,"R",72.4,38.8,31,70.1,48.614805,68.431835
"222","p06",24,210.2,74,"R",72.4,38.8,32,68.4,48.555173,67.104682
"223","p06",24,210.2,74,"R",72.4,38.8,33,71.1,50.644895,70.416759
"224","p06",24,210.2,74,"R",72.4,38.8,34,72.4,52.643798,74.421421
"225","p06",24,210.2,74,"R",72.4,38.8,35,70.4,53.346581,74.086557
"226","p06",24,210.2,74,"R",72.4,38.8,36,72.1,53.636634,73.454453
"227","p07",22,214.6,75,"R",71.5,29,1,29,15.819407,13.368245
"228","p07",22,214.6,75,"R",71.5,29,2,35.4,11.765566,15.896252
"229","p07",22,214.6,75,"R",71.5,29,3,36.3,19.053985,18.801188
"230","p07",22,214.6,75,"R",71.5,29,4,35.7,17.80676,17.955933
"231","p07",22,214.6,75,"R",71.5,29,5,37.1,23.330726,20.839981
"232","p07",22,214.6,75,"R",71.5,29,6,42.2,18.644035,22.760342
"233","p07",22,214.6,75,"R",71.5,29,7,43.5,21.426358,24.64898
"234","p07",22,214.6,75,"R",71.5,29,8,43.8,21.406985,24.301931
"235","p07",22,214.6,75,"R",71.5,29,9,46.4,24.799406,28.09215
"236","p07",22,214.6,75,"R",71.5,29,10,46,25.442488,26.542457
"237","p07",22,214.6,75,"R",71.5,29,11,49.3,31.740107,32.064846
"238","p07",22,214.6,75,"R",71.5,29,12,51.1,30.150464,31.697036
"239","p07",22,214.6,75,"R",71.5,29,13,48.4,27.624163,30.065725
"240","p07",22,214.6,75,"R",71.5,29,14,54.5,35.224687,37.000306
"241","p07",22,214.6,75,"R",71.5,29,15,55.1,33.181361,37.231384
"242","p07",22,214.6,75,"R",71.5,29,16,59,40.649708,44.766958
"243","p07",22,214.6,75,"R",71.5,29,17,59.2,41.034526,41.59668
"244","p07",22,214.6,75,"R",71.5,29,18,59.6,41.087061,41.504789
"245","p07",22,214.6,75,"R",71.5,29,19,60.2,41.226313,44.202124
"246","p07",22,214.6,75,"R",71.5,29,20,61.8,43.302585,46.416996
"247","p07",22,214.6,75,"R",71.5,29,21,61.3,43.023785,45.118096
"248","p07",22,214.6,75,"R",71.5,29,22,63,46.977229,49.612358
"249","p07",22,214.6,75,"R",71.5,29,23,63.8,46.905445,48.396225
"250","p07",22,214.6,75,"R",71.5,29,24,63.6,47.560525,49.725837
"251","p07",22,214.6,75,"R",71.5,29,25,64.4,47.489982,47.521069
"252","p07",22,214.6,75,"R",71.5,29,26,62.8,44.785857,49.316333
"253","p07",22,214.6,75,"R",71.5,29,27,66.2,50.500975,53.209186
"254","p07",22,214.6,75,"R",71.5,29,28,62.9,47.113469,48.688053
"255","p07",22,214.6,75,"R",71.5,29,29,63.6,47.341285,45.828502
"256","p07",22,214.6,75,"R",71.5,29,30,64.4,47.223837,51.971028
"257","p07",22,214.6,75,"R",71.5,29,31,64.1,47.140785,51.615069
"258","p07",22,214.6,75,"R",71.5,29,32,63.4,45.273437,48.968272
"259","p07",22,214.6,75,"R",71.5,29,33,66.3,52.723006,54.291655
"260","p07",22,214.6,75,"R",71.5,29,34,65.7,51.552189,54.529877
"261","p07",22,214.6,75,"R",71.5,29,35,65,48.276893,51.925345
"262","p07",22,214.6,75,"R",71.5,29,36,67.8,52.765698,55.024865
"263","p07",22,214.6,75,"R",71.5,29,37,65.1,47.148552,51.207219
"264","p07",22,214.6,75,"R",71.5,29,38,67.1,50.154538,52.354176
"265","p07",22,214.6,75,"R",71.5,29,39,67.8,52.25507,56.320169
"266","p07",22,214.6,75,"R",71.5,29,40,65.4,48.809994,49.76856
"267","p07",22,214.6,75,"R",71.5,29,41,67.9,53.477112,55.369167
"268","p07",22,214.6,75,"R",71.5,29,42,70.4,57.165986,58.556146
"269","p07",22,214.6,75,"R",71.5,29,43,69.2,55.300138,59.731761
"270","p07",22,214.6,75,"R",71.5,29,44,67.9,55.418867,57.111604
"271","p07",22,214.6,75,"R",71.5,29,45,70,54.450544,62.004157
"272","p07",22,214.6,75,"R",71.5,29,46,69.9,54.722856,59.482173
"273","p07",22,214.6,75,"R",71.5,29,47,71.5,53.919472,56.574385
"274","p07",22,214.6,75,"R",71.5,29,48,68.8,53.046463,59.225224
"275","p07",22,214.6,75,"R",71.5,29,49,70.3,56.22895,60.576845
"276","p07",22,214.6,75,"R",71.5,29,50,69.7,54.886274,60.943887
"277","p07",22,214.6,75,"R",71.5,29,51,70.6,55.004897,56.676347
"278","p07",22,214.6,75,"R",71.5,29,52,70.7,55.582323,61.113232
"279","p08",23,208.4,72,"R",77.6,35.2,1,35.2,11.786738,17.507796
"280","p08",23,208.4,72,"R",77.6,35.2,2,39.1,13.759662,20.905437
"281","p08",23,208.4,72,"R",77.6,35.2,3,41.1,14.921385,21.490086
"282","p08",23,208.4,72,"R",77.6,35.2,4,40.4,14.745884,21.060312
"283","p08",23,208.4,72,"R",77.6,35.2,5,39.6,14.427218,19.549263
"284","p08",23,208.4,72,"R",77.6,35.2,6,39.6,15.746005,21.845793
"285","p08",23,208.4,72,"R",77.6,35.2,7,39.1,14.078688,19.531327
