kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
98	-3.161174	-0.297049	-108.934853	-32.443440	108.934853	10.971108	12.475965	9.836130	-12.475965	-11.976080	4.924696	2.931215	1.170485	-165.291775	
99	-3.006949	0.353477	-133.424495	-45.973845	133.424495	11.269557	-6.122955	19.296011	6.122955	-19.668881	4.995283	2.746108	4.004579	-165.239404	
100	-2.638803	1.051350	-161.769100	-61.488899	161.769100	12.719648	-27.995943	28.777018	27.995943	-27.280327	5.050853	2.561172	6.847334	-165.099022	
101	-2.072268	1.786431	-192.927463	-78.264524	192.927463	15.079184	-52.697860	38.208570	52.697860	-35.160876	5.091616	2.381736	9.700604	-164.879960	
102	-1.319060	2.576892	-227.287257	-96.097957	227.287257	17.962548	-80.616845	48.066490	80.616845	-44.117452	5.118075	2.212980	12.566179	-164.589180	
103	-0.377259	3.457417	-265.335937	-115.193152	265.335937	21.021353	-112.898245	59.041016	112.898245	-55.057147	5.130804	2.060388	15.445530	-164.233761	
104	0.745846	4.446189	-306.811929	-135.705857	306.811929	24.090707	-150.529647	71.420290	150.529647	-68.377960	5.130320	1.931111	18.339686	-163.822666	
105	2.008294	5.537356	-351.470099	-157.703597	351.470099	27.236033	-193.690032	85.067855	193.690032	-83.875164	5.116899	1.834751	21.248760	-163.367804	
106	3.348134	6.709042	-399.884774	-181.596850	399.884774	30.895687	-242.028048	99.654087	242.028048	-100.977677	5.090390	1.782450	24.171251	-162.885318	
107	4.707930	7.918434	-452.646587	-207.986746	452.646587	35.830238	-294.776321	114.553916	294.776321	-118.783415	5.050412	1.784287	27.103870	-162.396915	
108	6.028230	9.105294	-509.297803	-237.071524	509.297803	42.725180	-350.415467	128.904142	350.415467	-136.181911	4.996787	1.845403	30.042307	-161.928967	
109	7.249773	10.217341	-569.052963	-268.791768	569.052963	52.060484	-407.287579	142.032195	407.287579	-152.302336	4.929556	1.963183	32.982666	-161.508346	
110	8.335220	11.214709	-630.737523	-302.969916	630.737523	64.240506	-464.267932	153.574804	464.267932	-166.687088	4.848584	2.128306	35.923122	-161.155770	
111	9.270401	12.054570	-691.515959	-338.736750	691.515959	79.396574	-520.188320	163.326361	520.188320	-179.113083	4.753470	2.328158	38.865796	-160.876568	
112	10.063597	12.712551	-747.517448	-374.457776	747.517448	97.161319	-574.020353	171.511525	574.020353	-189.792967	4.643756	2.549462	41.818837	-160.650444	
113	10.753108	13.214474	-795.351242	-408.381709	795.351242	116.883532	-626.053228	179.088651	626.053228	-199.656696	4.518980	2.780211	44.797909	-160.423145	
114	11.379380	13.624514	-833.395413	-439.140009	833.395413	138.183294	-677.717220	187.447814	677.717220	-210.009407	4.378712	3.011181	47.826070	-160.101096	
115	11.954374	14.019260	-862.880218	-465.959667	862.880218	161.316360	-730.668969	197.898844	730.668969	-222.035700	4.223034	3.236496	50.931622	-159.550062	
116	12.486236	14.477689	-885.697400	-488.485716	885.697400	186.665969	-786.676394	211.406465	786.676394	-236.655749	4.053231	3.454013	54.144256	-158.599267	
117	13.005742	15.070072	-901.339552	-506.516715	901.339552	214.043815	-847.385205	228.517446	847.385205	-254.475733	3.871791	3.665866	57.490184	-157.049588	
118	13.566447	15.860934	-908.321048	-520.417034	908.321048	242.724969	-914.313151	249.516571	914.313151	-275.873609	3.681453	3.878394	60.987451	-154.684106	
119	14.227417	16.920857	-906.281287	-531.532711	906.281287	271.804809	-989.234109	274.487885	989.234109	-301.034209	3.484614	4.101559	64.642023	-151.282498	
120	15.004031	18.277205	-896.234860	-541.363426	896.234860	300.426526	-1072.092452	302.689626	1072.092452	-329.292289	3.283561	4.347383	68.444394	-146.643686	
121	15.857426	19.881070	-881.873434	-551.068140	881.873434	328.077260	-1160.032150	332.382088	1160.032150	-358.892065	3.080703	4.626934	72.368416	-140.627892	
122	16.740081	21.666435	-869.058124	-562.010818	869.058124	354.697755	-1250.522503	361.542638	1250.522503	-387.610846	2.878649	4.948119	76.374279	-133.226755	
123	17.609481	23.562086	-861.726232	-574.819273	861.726232	380.171773	-1341.390454	387.778762	1341.390454	-412.632839	2.679498	5.315352	80.413247	-124.639233	
124	18.400353	25.449160	-859.324417	-588.313577	859.324417	404.402621	-1428.260603	407.877330	1428.260603	-430.237592	2.483293	5.729242	84.430963	-115.289369	
125	19.025765	27.202436	-857.195617	-600.578917	857.195617	428.047618	-1506.277529	418.524351	1506.277529	-436.780114	2.288132	6.186768	88.369629	-105.728546	
